gr24.tsp 5 24 200 0.1 0.9 OX SWP TUR ECH NCH 1000 0 1272 No optimal path
totalCost;error;time;PopulationNumber;pm;pk;cross;mutate;select;success;stop;stopCounter;optimalPathSize;maxErrorRatio
1327;4.33962;0;100;0.3;0.9;OX;SWP;DUE;FCH;NCH;1000;1272;0
1473;15.8491;0;100;0.3;0.9;PMX;SWP;DUE;FCH;NCH;1000;1272;0
1383;8.74214;0;100;0.3;0.9;OX;SWP;DUE;FCH;GEN;1000;1272;0
1493;17.4371;0;100;0.3;0.9;PMX;SWP;DUE;FCH;GEN;1000;1272;0
1333;4.7956;0;100;0.3;0.9;OX;SWP;DUE;ECH;NCH;1000;1272;0
1456;14.4811;0;100;0.3;0.9;PMX;SWP;DUE;ECH;NCH;1000;1272;0
1350;6.19497;0;100;0.3;0.9;OX;SWP;DUE;ECH;GEN;1000;1272;0
1511;18.805;0;100;0.3;0.9;PMX;SWP;DUE;ECH;GEN;1000;1272;0
1450;14.0252;0;100;0.3;0.9;OX;SWP;TUR;FCH;NCH;1000;1272;0
1521;19.6069;0;100;0.3;0.9;PMX;SWP;TUR;FCH;NCH;1000;1272;0
1504;18.2547;0;100;0.3;0.9;OX;SWP;TUR;FCH;GEN;1000;1272;0
1464;15.1258;0;100;0.3;0.9;PMX;SWP;TUR;FCH;GEN;1000;1272;0
1453;14.2453;1;100;0.3;0.9;OX;SWP;TUR;ECH;NCH;1000;1272;0
1562;22.8145;1;100;0.3;0.9;PMX;SWP;TUR;ECH;NCH;1000;1272;0
1476;16.0849;0;100;0.3;0.9;OX;SWP;TUR;ECH;GEN;1000;1272;0
1475;15.9591;0;100;0.3;0.9;PMX;SWP;TUR;ECH;GEN;1000;1272;0
1375;8.11321;0;200;0.1;0.7;OX;SWP;DUE;FCH;NCH;1000;1272;0
1563;22.9088;0;200;0.1;0.7;PMX;SWP;DUE;FCH;NCH;1000;1272;0
1372;7.92453;0;200;0.1;0.7;OX;SWP;DUE;FCH;GEN;1000;1272;0
1493;17.3899;0;200;0.1;0.7;PMX;SWP;DUE;FCH;GEN;1000;1272;0
