ftv33.atsp.txt 5 44 200 0.1 0.9 OX SWP TUR ECH NCH 1000 0 1286 No optimal path
totalCost;error;time;PopulationNumber;pm;pk;cross;mutate;select;success;stop;stopCounter;optimalPathSize;maxErrorRatio
1688;31.3219;0;100;0.3;0.9;OX;SWP;DUE;ECH;GEN;1000;1286;0
1706;32.7061;0;100;0.3;0.9;PMX;SWP;DUE;ECH;GEN;1000;1286;0
1684;30.9487;1;100;0.3;0.9;OX;SWP;TUR;FCH;NCH;1000;1286;0
1758;36.7496;1;100;0.3;0.9;PMX;SWP;TUR;FCH;NCH;1000;1286;0
1727;34.339;0;100;0.3;0.9;OX;SWP;TUR;FCH;GEN;1000;1286;0
1875;45.832;0;100;0.3;0.9;PMX;SWP;TUR;FCH;GEN;1000;1286;0
1805;40.3888;1;100;0.3;0.9;OX;SWP;TUR;ECH;NCH;1000;1286;0
1903;47.9782;1;100;0.3;0.9;PMX;SWP;TUR;ECH;NCH;1000;1286;0
1817;41.3064;0;100;0.3;0.9;OX;SWP;TUR;ECH;GEN;1000;1286;0
1922;49.4868;0;100;0.3;0.9;PMX;SWP;TUR;ECH;GEN;1000;1286;0
1540;19.7823;1;200;0.1;0.7;OX;SWP;DUE;FCH;NCH;1000;1286;0
1895;47.3872;1;200;0.1;0.7;PMX;SWP;DUE;FCH;NCH;1000;1286;0
1558;21.2131;0;200;0.1;0.7;OX;SWP;DUE;FCH;GEN;1000;1286;0
1887;46.7341;0;200;0.1;0.7;PMX;SWP;DUE;FCH;GEN;1000;1286;0
1607;24.9611;1;200;0.1;0.7;OX;SWP;DUE;ECH;NCH;1000;1286;0
1828;42.1617;1;200;0.1;0.7;PMX;SWP;DUE;ECH;NCH;1000;1286;0
1573;22.3639;0;200;0.1;0.7;OX;SWP;DUE;ECH;GEN;1000;1286;0
1698;32.084;0;200;0.1;0.7;PMX;SWP;DUE;ECH;GEN;1000;1286;0
1613;25.4743;3;200;0.1;0.7;OX;SWP;TUR;FCH;NCH;1000;1286;0
1750;36.1275;3;200;0.1;0.7;PMX;SWP;TUR;FCH;NCH;1000;1286;0
1694;31.7574;0;200;0.1;0.7;OX;SWP;TUR;FCH;GEN;1000;1286;0
1801;40.0933;0;200;0.1;0.7;PMX;SWP;TUR;FCH;GEN;1000;1286;0
1663;29.3624;4;200;0.1;0.7;OX;SWP;TUR;ECH;NCH;1000;1286;0
1817;41.3219;4;200;0.1;0.7;PMX;SWP;TUR;ECH;NCH;1000;1286;0
1741;35.4432;0;200;0.1;0.7;OX;SWP;TUR;ECH;GEN;1000;1286;0
1711;33.0482;0;200;0.1;0.7;PMX;SWP;TUR;ECH;GEN;1000;1286;0
1491;16.0031;1;200;0.1;0.9;OX;SWP;DUE;FCH;NCH;1000;1286;0
1835;42.6905;1;200;0.1;0.9;PMX;SWP;DUE;FCH;NCH;1000;1286;0
1595;24.0902;0;200;0.1;0.9;OX;SWP;DUE;FCH;GEN;1000;1286;0
1930;50.14;0;200;0.1;0.9;PMX;SWP;DUE;FCH;GEN;1000;1286;0
1596;24.1524;2;200;0.1;0.9;OX;SWP;DUE;ECH;NCH;1000;1286;0
1784;38.7714;1;200;0.1;0.9;PMX;SWP;DUE;ECH;NCH;1000;1286;0
1755;36.5163;0;200;0.1;0.9;OX;SWP;DUE;ECH;GEN;1000;1286;0
1763;37.1229;0;200;0.1;0.9;PMX;SWP;DUE;ECH;GEN;1000;1286;0
1754;36.4075;3;200;0.1;0.9;OX;SWP;TUR;FCH;NCH;1000;1286;0
1769;37.6205;3;200;0.1;0.9;PMX;SWP;TUR;FCH;NCH;1000;1286;0
1706;32.7061;0;200;0.1;0.9;OX;SWP;TUR;FCH;GEN;1000;1286;0
1745;35.7232;0;200;0.1;0.9;PMX;SWP;TUR;FCH;GEN;1000;1286;0
1669;29.7823;3;200;0.1;0.9;OX;SWP;TUR;ECH;NCH;1000;1286;0
1743;35.5365;4;200;0.1;0.9;PMX;SWP;TUR;ECH;NCH;1000;1286;0
1678;30.4821;0;200;0.1;0.9;OX;SWP;TUR;ECH;GEN;1000;1286;0
1795;39.6112;0;200;0.1;0.9;PMX;SWP;TUR;ECH;GEN;1000;1286;0
1456;13.2193;1;200;0.3;0.7;OX;SWP;DUE;FCH;NCH;1000;1286;0
1757;36.6874;1;200;0.3;0.7;PMX;SWP;DUE;FCH;NCH;1000;1286;0
