gr48.tsp 1 48 200 0.1 0.9 OX SWP TUR ECH NCH 1000 0 5046 No optimal path
totalCost;error;time
6101;	20.9076;	2;100;0.1;0.7;PMX;INV;TUR;ECH;GEN;5046;0
6511;	29.0329;	1;100;0.3;0.9;PMX;INV;DUE;ECH;GEN;5046;0
5472;	8.44233;	1;100;0.3;0.9;OX;INV;DUE;ECH;GEN;5046;0
5769;	14.3282;	4;100;0.3;0.9;PMX;INV;DUE;ECH;NCH;5046;0
5617;	11.3159;	2;100;0.3;0.9;OX;INV;DUE;ECH;NCH;5046;0
5641;	11.7915;	1;100;0.3;0.9;PMX;INV;DUE;FCH;GEN;5046;0
5558;	10.1467;	0;100;0.3;0.9;OX;INV;DUE;FCH;GEN;5046;0
5580;	10.5826;	1;100;0.3;0.9;PMX;INV;DUE;FCH;NCH;5046;0
5228;	3.60682;	1;100;0.3;0.9;OX;INV;DUE;FCH;NCH;5046;0
5848;	15.8938;	5;200;0.1;0.7;PMX;INV;TUR;ECH;GEN;5046;0
6219;	23.2461;	4;200;0.1;0.7;OX;INV;TUR;ECH;GEN;5046;0
7766;	53.9041;	6;200;0.1;0.7;PMX;INV;TUR;ECH;NCH;5046;0
6025;	19.4015;	6;200;0.1;0.7;OX;INV;TUR;ECH;NCH;5046;0
6608;	30.9552;	4;200;0.1;0.7;PMX;INV;TUR;FCH;GEN;5046;0
6235;	23.5632;	3;200;0.1;0.7;OX;INV;TUR;FCH;GEN;5046;0
7110;	40.9037;	5;200;0.1;0.7;PMX;INV;TUR;FCH;NCH;5046;0
6737;	33.5117;	4;200;0.1;0.7;OX;INV;TUR;FCH;NCH;5046;0
5881;	16.5478;	2;200;0.1;0.7;PMX;INV;DUE;ECH;GEN;5046;0
5827;	15.4776;	2;200;0.1;0.7;OX;INV;DUE;ECH;GEN;5046;0
7105;	40.8046;	5;200;0.1;0.7;PMX;INV;DUE;ECH;NCH;5046;0
6239;	23.6425;	2;200;0.1;0.7;OX;INV;DUE;ECH;NCH;5046;0
6368;	26.199;	1;200;0.1;0.7;PMX;INV;DUE;FCH;GEN;5046;0
5813;	15.2002;	1;200;0.1;0.7;OX;INV;DUE;FCH;GEN;5046;0
6535;	29.5085;	3;200;0.1;0.7;PMX;INV;DUE;FCH;NCH;5046;0
5458;	8.16488;	2;200;0.1;0.7;OX;INV;DUE;FCH;NCH;5046;0
6399;	26.8133;	5;200;0.1;0.7;PMX;INV;TUR;ECH;GEN;5046;0
6652;	31.8272;	4;200;0.1;0.7;OX;INV;TUR;ECH;GEN;5046;0
6560;	30.004;	6;200;0.1;0.7;PMX;INV;TUR;ECH;NCH;5046;0
6014;	19.1835;	6;200;0.1;0.7;OX;INV;TUR;ECH;NCH;5046;0
6812;	34.998;	4;200;0.1;0.7;PMX;INV;TUR;FCH;GEN;5046;0
6358;	26.0008;	3;200;0.1;0.7;OX;INV;TUR;FCH;GEN;5046;0
6562;	30.0436;	5;200;0.1;0.7;PMX;INV;TUR;FCH;NCH;5046;0
5595;	10.8799;	7;200;0.1;0.7;OX;INV;TUR;FCH;NCH;5046;0
6014;	19.1835;	2;200;0.1;0.7;PMX;INV;DUE;ECH;GEN;5046;0
6078;	20.4518;	2;200;0.1;0.7;OX;INV;DUE;ECH;GEN;5046;0
7417;	46.9877;	7;200;0.1;0.7;PMX;INV;DUE;ECH;NCH;5046;0
5946;	17.8359;	3;200;0.1;0.7;OX;INV;DUE;ECH;NCH;5046;0
6337;	25.5846;	1;200;0.1;0.7;PMX;INV;DUE;FCH;GEN;5046;0
5325;	5.52913;	1;200;0.1;0.7;OX;INV;DUE;FCH;GEN;5046;0
5916;	17.2414;	6;200;0.1;0.7;PMX;INV;DUE;FCH;NCH;5046;0
5736;	13.6742;	2;200;0.1;0.7;OX;INV;DUE;FCH;NCH;5046;0
6633;	31.4507;	5;200;0.1;0.9;PMX;INV;TUR;ECH;GEN;5046;0
6454;	27.9033;	4;200;0.1;0.9;OX;INV;TUR;ECH;GEN;5046;0
7410;	46.849;	5;200;0.1;0.9;PMX;INV;TUR;ECH;NCH;5046;0
6076;	20.4122;	5;200;0.1;0.9;OX;INV;TUR;ECH;NCH;5046;0
7151;	41.7162;	4;200;0.1;0.9;PMX;INV;TUR;FCH;GEN;5046;0
6712;	33.0163;	3;200;0.1;0.9;OX;INV;TUR;FCH;GEN;5046;0
7785;	54.2806;	4;200;0.1;0.9;PMX;INV;TUR;FCH;NCH;5046;0
6911;	36.96;	4;200;0.1;0.9;OX;INV;TUR;FCH;NCH;5046;0
5931;	17.5386;	2;200;0.1;0.9;PMX;INV;DUE;ECH;GEN;5046;0
