gr17.tsp 5 17 200 0.1 0.9 OX SWP TUR ECH NCH 1000 0 2085 No optimal path
totalCost;error;time;PopulationNumber;pm;pk;cross;mutate;select;success;stop;stopCounter;optimalPathSize;maxErrorRatio
2179;4.54676;0;100;0.1;0.9;OX;SWP;DUE;ECH;GEN;1000;2085;0
2195;5.30456;0;100;0.1;0.9;PMX;SWP;DUE;ECH;GEN;1000;2085;0
2114;1.40048;0;100;0.1;0.9;OX;SWP;TUR;FCH;NCH;1000;2085;0
2180;4.55635;0;100;0.1;0.9;PMX;SWP;TUR;FCH;NCH;1000;2085;0
2165;3.84652;0;100;0.1;0.9;OX;SWP;TUR;FCH;GEN;1000;2085;0
2211;6.04317;0;100;0.1;0.9;PMX;SWP;TUR;FCH;GEN;1000;2085;0
2193;5.17986;0;100;0.1;0.9;OX;SWP;TUR;ECH;NCH;1000;2085;0
2169;4.06715;0;100;0.1;0.9;PMX;SWP;TUR;ECH;NCH;1000;2085;0
2145;2.8777;0;100;0.1;0.9;OX;SWP;TUR;ECH;GEN;1000;2085;0
2290;9.84173;0;100;0.1;0.9;PMX;SWP;TUR;ECH;GEN;1000;2085;0
2092;0.345324;0;100;0.3;0.7;OX;SWP;DUE;FCH;NCH;1000;2085;0
2107;1.05516;0;100;0.3;0.7;PMX;SWP;DUE;FCH;NCH;1000;2085;0
2114;1.41966;0;100;0.3;0.7;OX;SWP;DUE;FCH;GEN;1000;2085;0
2195;5.30456;0;100;0.3;0.7;PMX;SWP;DUE;FCH;GEN;1000;2085;0
2092;0.364508;0;100;0.3;0.7;OX;SWP;DUE;ECH;NCH;1000;2085;0
2106;1.03597;0;100;0.3;0.7;PMX;SWP;DUE;ECH;NCH;1000;2085;0
2114;1.42926;0;100;0.3;0.7;OX;SWP;DUE;ECH;GEN;1000;2085;0
2209;5.94724;0;100;0.3;0.7;PMX;SWP;DUE;ECH;GEN;1000;2085;0
2124;1.8705;0;100;0.3;0.7;OX;SWP;TUR;FCH;NCH;1000;2085;0
2143;2.78177;0;100;0.3;0.7;PMX;SWP;TUR;FCH;NCH;1000;2085;0
2136;2.44604;0;100;0.3;0.7;OX;SWP;TUR;FCH;GEN;1000;2085;0
2182;4.65228;0;100;0.3;0.7;PMX;SWP;TUR;FCH;GEN;1000;2085;0
2138;2.54197;0;100;0.3;0.7;OX;SWP;TUR;ECH;NCH;1000;2085;0
2229;6.92566;0;100;0.3;0.7;PMX;SWP;TUR;ECH;NCH;1000;2085;0
2111;1.26619;0;100;0.3;0.7;OX;SWP;TUR;ECH;GEN;1000;2085;0
2195;5.31415;0;100;0.3;0.7;PMX;SWP;TUR;ECH;GEN;1000;2085;0
2094;0.441247;0;100;0.3;0.9;OX;SWP;DUE;FCH;NCH;1000;2085;0
2132;2.29257;0;100;0.3;0.9;PMX;SWP;DUE;FCH;NCH;1000;2085;0
2136;2.48441;0;100;0.3;0.9;OX;SWP;DUE;FCH;GEN;1000;2085;0
2199;5.48681;0;100;0.3;0.9;PMX;SWP;DUE;FCH;GEN;1000;2085;0
2093;0.393285;0;100;0.3;0.9;OX;SWP;DUE;ECH;NCH;1000;2085;0
2162;3.69305;0;100;0.3;0.9;PMX;SWP;DUE;ECH;NCH;1000;2085;0
2109;1.18945;0;100;0.3;0.9;OX;SWP;DUE;ECH;GEN;1000;2085;0
2259;8.3741;0;100;0.3;0.9;PMX;SWP;DUE;ECH;GEN;1000;2085;0
2161;3.65468;0;100;0.3;0.9;OX;SWP;TUR;FCH;NCH;1000;2085;0
2193;5.17986;0;100;0.3;0.9;PMX;SWP;TUR;FCH;NCH;1000;2085;0
2135;2.42686;0;100;0.3;0.9;OX;SWP;TUR;FCH;GEN;1000;2085;0
2209;5.97602;0;100;0.3;0.9;PMX;SWP;TUR;FCH;GEN;1000;2085;0
2163;3.74101;0;100;0.3;0.9;OX;SWP;TUR;ECH;NCH;1000;2085;0
2231;7.02158;0;100;0.3;0.9;PMX;SWP;TUR;ECH;NCH;1000;2085;0
2165;3.85612;0;100;0.3;0.9;OX;SWP;TUR;ECH;GEN;1000;2085;0
2275;9.1223;0;100;0.3;0.9;PMX;SWP;TUR;ECH;GEN;1000;2085;0
2089;0.220624;0;200;0.1;0.7;OX;SWP;DUE;FCH;NCH;1000;2085;0
2156;3.40528;0;200;0.1;0.7;PMX;SWP;DUE;FCH;NCH;1000;2085;0
2100;0.748201;0;200;0.1;0.7;OX;SWP;DUE;FCH;GEN;1000;2085;0
2291;9.89928;0;200;0.1;0.7;PMX;SWP;DUE;FCH;GEN;1000;2085;0
2122;1.80336;0;200;0.1;0.7;OX;SWP;DUE;ECH;NCH;1000;2085;0
2150;3.13669;0;200;0.1;0.7;PMX;SWP;DUE;ECH;NCH;1000;2085;0
2137;2.494;0;200;0.1;0.7;OX;SWP;DUE;ECH;GEN;1000;2085;0
2188;4.94005;0;200;0.1;0.7;PMX;SWP;DUE;ECH;GEN;1000;2085;0
