gr48.tsp.txt 5 48 200 0.1 0.9 OX SWP TUR ECH NCH 1000 0 5046 No optimal path
totalCost;error;time;PopulationNumber;pm;pk;cross;mutate;select;success;stop;stopCounter;optimalPathSize;maxErrorRatio
7044;39.5997;2;100;0.1;0.9;PMX;SWP;TUR;ECH;NCH;1000;5046;0
8028;59.1122;0;100;0.1;0.9;OX;SWP;TUR;ECH;GEN;1000;5046;0
8180;62.1245;0;100;0.1;0.9;PMX;SWP;TUR;ECH;GEN;1000;5046;0
5619;11.3555;1;100;0.3;0.7;OX;SWP;DUE;FCH;NCH;1000;5046;0
7101;40.7372;1;100;0.3;0.7;PMX;SWP;DUE;FCH;NCH;1000;5046;0
6269;24.2529;0;100;0.3;0.7;OX;SWP;DUE;FCH;GEN;1000;5046;0
7250;43.6901;0;100;0.3;0.7;PMX;SWP;DUE;FCH;GEN;1000;5046;0
5763;14.2212;2;100;0.3;0.7;OX;SWP;DUE;ECH;NCH;1000;5046;0
6756;33.9001;1;100;0.3;0.7;PMX;SWP;DUE;ECH;NCH;1000;5046;0
6639;31.5735;0;100;0.3;0.7;OX;SWP;DUE;ECH;GEN;1000;5046;0
7041;39.5521;0;100;0.3;0.7;PMX;SWP;DUE;ECH;GEN;1000;5046;0
6602;30.8442;1;100;0.3;0.7;OX;SWP;TUR;FCH;NCH;1000;5046;0
7506;48.7515;1;100;0.3;0.7;PMX;SWP;TUR;FCH;NCH;1000;5046;0
6976;38.264;0;100;0.3;0.7;OX;SWP;TUR;FCH;GEN;1000;5046;0
7015;39.0329;0;100;0.3;0.7;PMX;SWP;TUR;FCH;GEN;1000;5046;0
6701;32.8062;1;100;0.3;0.7;OX;SWP;TUR;ECH;NCH;1000;5046;0
7582;50.2656;2;100;0.3;0.7;PMX;SWP;TUR;ECH;NCH;1000;5046;0
7100;40.7055;0;100;0.3;0.7;OX;SWP;TUR;ECH;GEN;1000;5046;0
6878;36.3218;0;100;0.3;0.7;PMX;SWP;TUR;ECH;GEN;1000;5046;0
5525;9.49663;1;100;0.3;0.9;OX;SWP;DUE;FCH;NCH;1000;5046;0
7201;42.715;1;100;0.3;0.9;PMX;SWP;DUE;FCH;NCH;1000;5046;0
6476;28.3472;0;100;0.3;0.9;OX;SWP;DUE;FCH;GEN;1000;5046;0
7489;48.4304;0;100;0.3;0.9;PMX;SWP;DUE;FCH;GEN;1000;5046;0
5932;17.5585;2;100;0.3;0.9;OX;SWP;DUE;ECH;NCH;1000;5046;0
7186;42.4098;1;100;0.3;0.9;PMX;SWP;DUE;ECH;NCH;1000;5046;0
6529;29.4055;0;100;0.3;0.9;OX;SWP;DUE;ECH;GEN;1000;5046;0
7354;45.7551;0;100;0.3;0.9;PMX;SWP;DUE;ECH;GEN;1000;5046;0
6771;34.1895;1;100;0.3;0.9;OX;SWP;TUR;FCH;NCH;1000;5046;0
6663;32.0452;1;100;0.3;0.9;PMX;SWP;TUR;FCH;NCH;1000;5046;0
7466;47.9627;0;100;0.3;0.9;OX;SWP;TUR;FCH;GEN;1000;5046;0
7280;44.2727;0;100;0.3;0.9;PMX;SWP;TUR;FCH;GEN;1000;5046;0
6870;36.1474;1;100;0.3;0.9;OX;SWP;TUR;ECH;NCH;1000;5046;0
7125;41.2168;2;100;0.3;0.9;PMX;SWP;TUR;ECH;NCH;1000;5046;0
6779;34.3599;0;100;0.3;0.9;OX;SWP;TUR;ECH;GEN;1000;5046;0
7366;45.9849;0;100;0.3;0.9;PMX;SWP;TUR;ECH;GEN;1000;5046;0
5694;12.8537;2;200;0.1;0.7;OX;SWP;DUE;FCH;NCH;1000;5046;0
6933;37.4078;2;200;0.1;0.7;PMX;SWP;DUE;FCH;NCH;1000;5046;0
5974;18.3908;0;200;0.1;0.7;OX;SWP;DUE;FCH;GEN;1000;5046;0
7672;52.0412;0;200;0.1;0.7;PMX;SWP;DUE;FCH;GEN;1000;5046;0
6299;24.8315;2;200;0.1;0.7;OX;SWP;DUE;ECH;NCH;1000;5046;0
6933;37.396;3;200;0.1;0.7;PMX;SWP;DUE;ECH;NCH;1000;5046;0
6418;27.1938;0;200;0.1;0.7;OX;SWP;DUE;ECH;GEN;1000;5046;0
6984;38.4067;0;200;0.1;0.7;PMX;SWP;DUE;ECH;GEN;1000;5046;0
6524;29.2945;4;200;0.1;0.7;OX;SWP;TUR;FCH;NCH;1000;5046;0
7267;44.023;5;200;0.1;0.7;PMX;SWP;TUR;FCH;NCH;1000;5046;0
6558;29.9723;0;200;0.1;0.7;OX;SWP;TUR;FCH;GEN;1000;5046;0
7047;39.6631;0;200;0.1;0.7;PMX;SWP;TUR;FCH;GEN;1000;5046;0
6287;24.5977;5;200;0.1;0.7;OX;SWP;TUR;ECH;NCH;1000;5046;0
6895;36.6429;6;200;0.1;0.7;PMX;SWP;TUR;ECH;NCH;1000;5046;0
6921;37.17;1;200;0.1;0.7;OX;SWP;TUR;ECH;GEN;1000;5046;0
7478;48.2045;1;200;0.1;0.7;PMX;SWP;TUR;ECH;GEN;1000;5046;0
5422;7.45145;3;200;0.1;0.9;OX;SWP;DUE;FCH;NCH;1000;5046;0
6967;38.0777;2;200;0.1;0.9;PMX;SWP;DUE;FCH;NCH;1000;5046;0
6078;20.4677;0;200;0.1;0.9;OX;SWP;DUE;FCH;GEN;1000;5046;0
7239;43.4721;0;200;0.1;0.9;PMX;SWP;DUE;FCH;GEN;1000;5046;0
6149;21.8589;3;200;0.1;0.9;OX;SWP;DUE;ECH;NCH;1000;5046;0
6681;32.4059;3;200;0.1;0.9;PMX;SWP;DUE;ECH;NCH;1000;5046;0
6135;21.5933;0;200;0.1;0.9;OX;SWP;DUE;ECH;GEN;1000;5046;0
7227;43.2342;0;200;0.1;0.9;PMX;SWP;DUE;ECH;GEN;1000;5046;0
6677;32.3306;4;200;0.1;0.9;OX;SWP;TUR;FCH;NCH;1000;5046;0
7001;38.7475;5;200;0.1;0.9;PMX;SWP;TUR;FCH;NCH;1000;5046;0
6937;37.4911;0;200;0.1;0.9;OX;SWP;TUR;FCH;GEN;1000;5046;0
7395;46.5597;1;200;0.1;0.9;PMX;SWP;TUR;FCH;GEN;1000;5046;0
6457;27.9667;6;200;0.1;0.9;OX;SWP;TUR;ECH;NCH;1000;5046;0
6726;33.2937;6;200;0.1;0.9;PMX;SWP;TUR;ECH;NCH;1000;5046;0
6379;26.4249;1;200;0.1;0.9;OX;SWP;TUR;ECH;GEN;1000;5046;0
6535;29.5164;1;200;0.1;0.9;PMX;SWP;TUR;ECH;GEN;1000;5046;0
5619;11.3635;2;200;0.3;0.7;OX;SWP;DUE;FCH;NCH;1000;5046;0
7646;51.5379;2;200;0.3;0.7;PMX;SWP;DUE;FCH;NCH;1000;5046;0
5669;12.3623;0;200;0.3;0.7;OX;SWP;DUE;FCH;GEN;1000;5046;0
6988;38.4978;0;200;0.3;0.7;PMX;SWP;DUE;FCH;GEN;1000;5046;0
5561;10.2101;4;200;0.3;0.7;OX;SWP;DUE;ECH;NCH;1000;5046;0
6960;37.9469;3;200;0.3;0.7;PMX;SWP;DUE;ECH;NCH;1000;5046;0
5940;17.717;0;200;0.3;0.7;OX;SWP;DUE;ECH;GEN;1000;5046;0
7065;40.0277;0;200;0.3;0.7;PMX;SWP;DUE;ECH;GEN;1000;5046;0
6005;19.021;4;200;0.3;0.7;OX;SWP;TUR;FCH;NCH;1000;5046;0
7150;41.7083;4;200;0.3;0.7;PMX;SWP;TUR;FCH;NCH;1000;5046;0
6936;37.4594;0;200;0.3;0.7;OX;SWP;TUR;FCH;GEN;1000;5046;0
7120;41.1098;1;200;0.3;0.7;PMX;SWP;TUR;FCH;GEN;1000;5046;0
6753;33.8367;5;200;0.3;0.7;OX;SWP;TUR;ECH;NCH;1000;5046;0
7285;44.3797;5;200;0.3;0.7;PMX;SWP;TUR;ECH;NCH;1000;5046;0
6759;33.9596;1;200;0.3;0.7;OX;SWP;TUR;ECH;GEN;1000;5046;0
7154;41.7796;1;200;0.3;0.7;PMX;SWP;TUR;ECH;GEN;1000;5046;0
5673;12.4415;2;200;0.3;0.9;OX;SWP;DUE;FCH;NCH;1000;5046;0
7023;39.1795;2;200;0.3;0.9;PMX;SWP;DUE;FCH;NCH;1000;5046;0
6001;18.9417;0;200;0.3;0.9;OX;SWP;DUE;FCH;GEN;1000;5046;0
6880;36.3456;0;200;0.3;0.9;PMX;SWP;DUE;FCH;GEN;1000;5046;0
5716;13.2858;4;200;0.3;0.9;OX;SWP;DUE;ECH;NCH;1000;5046;0
6738;33.5315;4;200;0.3;0.9;PMX;SWP;DUE;ECH;NCH;1000;5046;0
6404;26.9164;0;200;0.3;0.9;OX;SWP;DUE;ECH;GEN;1000;5046;0
7053;39.778;0;200;0.3;0.9;PMX;SWP;DUE;ECH;GEN;1000;5046;0
6537;29.5561;3;200;0.3;0.9;OX;SWP;TUR;FCH;NCH;1000;5046;0
6696;32.7071;4;200;0.3;0.9;PMX;SWP;TUR;FCH;NCH;1000;5046;0
6624;31.2802;0;200;0.3;0.9;OX;SWP;TUR;FCH;GEN;1000;5046;0
7089;40.4954;1;200;0.3;0.9;PMX;SWP;TUR;FCH;GEN;1000;5046;0
6772;34.2172;5;200;0.3;0.9;OX;SWP;TUR;ECH;NCH;1000;5046;0
7259;43.8724;5;200;0.3;0.9;PMX;SWP;TUR;ECH;NCH;1000;5046;0
7157;41.843;1;200;0.3;0.9;OX;SWP;TUR;ECH;GEN;1000;5046;0
7221;43.1074;1;200;0.3;0.9;PMX;SWP;TUR;ECH;GEN;1000;5046;0
